Model,Latency (s),Weight Memory (GB),CPU Overhead (GB),Total Memory (GB),Throughput (prompts/s)
q8,0.4677420355738328,7.95421439409256,0.24273681640625,8.19695121049881,2.1379305769967525
q6,0.4409263532077015,6.143011391162872,0.35687255859375,6.499883949756622,2.2679524431349716
q5,0.4164064052523071,5.339262306690216,0.3533782958984375,5.692640602588654,2.4015000427144835
q4,0.3376664924830724,4.582792580127716,0.3582611083984375,4.941053688526154,2.9615020212588345
q3,0.43488071021538416,3.7429106831550594,0.353424072265625,4.096334755420685,2.2994811600282943
