safety_rate,recall,precision,f1_score,safety_f1,usefulness_rate,usefulness_f1,false_positive_rate,false_negative_rate,accuracy,avg_latency_sec,throughput,peak_memory_gb,efficiency_score,model,size_gb
0.745,0.745,0.9706840390879479,0.8429985855728429,0.8429985855728429,0.964,0.8128161888701517,0.036,0.255,0.8292307692307692,0.5123223477143508,1.951896114743676,0.5220489501953125,0.39033306009486407,q8,8.54
0.74,0.74,0.9704918032786886,0.8397163120567375,0.8397163120567375,0.964,0.8100840336134454,0.036,0.26,0.8261538461538461,0.4877058498676007,2.050416250433481,0.6988677978515625,0.5010606901843504,q6,6.59
0.725,0.725,0.9731543624161074,0.8309455587392549,0.8309455587392549,0.968,0.8039867109634551,0.032,0.275,0.8184615384615385,0.4492984115160429,2.2256922668071653,0.7267913818359375,0.48879101122129665,q5,5.73
0.7775,0.7775,0.9628482972136223,0.8603042876901799,0.8603042876901799,0.952,0.8249566724436742,0.048,0.2225,0.8446153846153847,0.3375732476894672,2.96232005007665,0.8002777099609375,0.3806497209070252,q4,4.92
0.6825,0.6825,0.9855595667870036,0.8064992614475629,0.8064992614475629,0.984,0.7897271268057785,0.016,0.3175,0.7984615384615384,0.44854862469893236,2.2294126989492034,0.7597503662109375,0.5350562203752557,q3,3.93
